casename,A_true,n_true,a_true,alpha,beta,A_est,n_est,a_est,alpha_est,beta_est
case35,800.0,1.1,50.0,0.2,0.7,792.214243552486,1.1035973512653812,49.09927419407652,0.21294379437911473,0.6917443747559032
case36,800.0,1.1,50.0,0.2,0.8,791.9171254968408,1.1029079602891254,49.10741067853376,0.21164219775523602,0.7932553917198193
case37,800.0,1.1,50.0,0.2,0.9,791.635621624851,1.10193926757315,49.13104699886575,0.20970260585481068,0.8957145296400604
case38,800.0,1.1,50.0,0.3,-0.9,799.4380946119652,1.1002773335706781,49.933292175101414,0.3056011923736072,-0.8995706955725138
case39,800.0,1.1,50.0,0.3,-0.8,798.8221111848087,1.101028193686979,49.83634688154033,0.3032959533158273,-0.7977294878894289
case40,800.0,1.1,50.0,0.3,-0.7,798.2489964920394,1.1015586654504976,49.7568337200866,0.300911613263747,-0.6956016108219919
case41,800.0,1.1,50.0,0.3,-0.6,797.6975423984437,1.101964131869148,49.68627459981407,0.2978778746585887,-0.5926918329522509
case42,800.0,1.1,50.0,0.3,-0.5,797.1653422290242,1.1022872007960651,49.62170159785115,0.2926087734098021,-0.48750060995491085
case43,800.0,1.1,50.0,0.3,-0.4,796.6480309963083,1.1025239454218594,49.56308055312514,0.2777559909489889,-0.37265397889071566
case44,800.0,1.1,50.0,0.3,-0.3,796.1465447121271,1.1026809860817641,49.51006219162816,0.6261267340448501,-0.6206093569753398
case45,800.0,1.1,50.0,0.3,-0.2,795.6609921713512,1.1027784120522235,49.460888323699095,0.3312197528930848,-0.22609523422018082
case46,800.0,1.1,50.0,0.3,-0.1,795.1784244772318,1.1028435418451819,49.413558986078804,0.3187110768059376,-0.11354928051546195
case47,800.0,1.1,50.0,0.3,-0.0,794.6951234558974,1.102910934722452,49.365688916613706,0.3145782492691576,-0.009399885234610193
case48,800.0,1.1,50.0,0.3,0.1,794.2082371173007,1.103098666131823,49.31320315025643,0.39092482063935513,-1.7577133387489272e-29
case49,800.0,1.1,50.0,0.3,0.2,793.702732666167,1.1031625288388278,49.260454029060526,0.3119016487767609,0.193199482804889
case50,800.0,1.1,50.0,0.3,0.3,793.1885645721369,1.1033626477679939,49.202251459049606,0.31165871219669605,0.2933151470259193
case51,800.0,1.1,50.0,0.3,0.4,792.6490927332803,1.1036196382275376,49.137972591307324,0.3117372878217981,0.3930423297312729
